"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UKM00003772","HEATHROW, UK","2020-02-18","0.01",,"44","53","40"
"UKM00003772","HEATHROW, UK","2020-02-19","0.09",,"44",,"37"
"UKM00003772","HEATHROW, UK","2020-02-20","0.05",,"46",,
"UKM00003772","HEATHROW, UK","2020-02-21","0.19",,"46",,"39"
"UKM00003772","HEATHROW, UK","2020-02-22","0.00",,"52","58",
"UKM00003772","HEATHROW, UK","2020-02-23","0.02",,"52",,
"UKM00003772","HEATHROW, UK","2020-02-24","0.13",,"49","54","42"
"UKM00003772","HEATHROW, UK","2020-02-25","0.09",,"43",,
"UKM00003772","HEATHROW, UK","2020-02-26","0.04",,"40",,"34"
"UKM00003772","HEATHROW, UK","2020-02-27","0.15",,"40",,
"UKM00003772","HEATHROW, UK","2020-02-28","0.20",,"44",,"32"
"UKM00003772","HEATHROW, UK","2020-02-29","0.22",,"45",,
"UKM00003772","HEATHROW, UK","2020-03-01","0.28",,"44",,
"UKM00003772","HEATHROW, UK","2020-03-02","0.20",,"42","50",
"UKM00003772","HEATHROW, UK","2020-03-03","0.01",,"41",,"35"
"UKM00003772","HEATHROW, UK","2020-03-04","0.03",,"40",,"32"
"UKM00003772","HEATHROW, UK","2020-03-05","0.22",,"42",,
"UKM00003772","HEATHROW, UK","2020-03-06","0.40",,"42",,
"UKM00003772","HEATHROW, UK","2020-03-07","0.00",,"46",,
"UKM00003772","HEATHROW, UK","2020-03-08","0.02",,"50",,
"UKM00003772","HEATHROW, UK","2020-03-09","0.09",,"46",,"40"
"UKM00003772","HEATHROW, UK","2020-03-10","0.30",,"55",,"43"
"UKM00003772","HEATHROW, UK","2020-03-11","0.00",,"52","60","46"
"UKM00003772","HEATHROW, UK","2020-03-12","0.07",,"46","52","40"
"UKM00003772","HEATHROW, UK","2020-03-13","0.06",,"47",,"42"
"UKM00003772","HEATHROW, UK","2020-03-14","0.11",,"49",,"44"
"UKM00003772","HEATHROW, UK","2020-03-15","0.03",,"49",,
"UKM00003772","HEATHROW, UK","2020-03-16","0.09",,"46",,
"UKM00003772","HEATHROW, UK","2020-03-17","0.00",,"48",,"40"
"UKM00003772","HEATHROW, UK","2020-03-18","0.00",,"53",,
"UKM00003772","HEATHROW, UK","2020-03-19","0.03",,"45",,"43"
"UKM00003772","HEATHROW, UK","2020-03-20","0.03",,"45","50",
"UKM00003772","HEATHROW, UK","2020-03-21","0.00",,"44",,"39"
"UKM00003772","HEATHROW, UK","2020-03-22","0.00",,"44",,"38"
"UKM00003772","HEATHROW, UK","2020-03-23","0.00",,"44",,
"UKM00003772","HEATHROW, UK","2020-03-24","0.00",,"47",,"33"
"UKM00003772","HEATHROW, UK","2020-03-25","0.00",,"45",,"33"
"UKM00003772","HEATHROW, UK","2020-03-26","0.00",,"44",,
"UKM00003772","HEATHROW, UK","2020-03-27","0.00",,"45","57",
"UKM00003772","HEATHROW, UK","2020-03-28","0.00",,"45","53",
"UKM00003772","HEATHROW, UK","2020-03-29","0.00",,"41","47",
"UKM00003772","HEATHROW, UK","2020-03-30","0.00",,"42",,"36"
"UKM00003772","HEATHROW, UK","2020-03-31","0.00",,"43",,
"UKM00003772","HEATHROW, UK","2020-04-01","0.00",,"41",,"30"
"UKM00003772","HEATHROW, UK","2020-04-02","0.00",,"48",,
"UKM00003772","HEATHROW, UK","2020-04-03","0.00",,"49",,
"UKM00003772","HEATHROW, UK","2020-04-04","0.00",,"49",,
"UKM00003772","HEATHROW, UK","2020-04-05","0.00",,"57",,
"UKM00003772","HEATHROW, UK","2020-04-06","0.02",,"55",,
"UKM00003772","HEATHROW, UK","2020-04-07","0.01",,"54",,"40"
"UKM00003772","HEATHROW, UK","2020-04-08","0.00",,"58",,"50"
"UKM00003772","HEATHROW, UK","2020-04-09","0.00",,"59",,"47"
"UKM00003772","HEATHROW, UK","2020-04-10","0.00",,"59",,
"UKM00003772","HEATHROW, UK","2020-04-11","0.00",,"62",,"48"
"UKM00003772","HEATHROW, UK","2020-04-12","0.00",,"62",,"49"
"UKM00003772","HEATHROW, UK","2020-04-13","0.00",,"48",,
"UKM00003772","HEATHROW, UK","2020-04-14","0.00",,"46",,
"UKM00003772","HEATHROW, UK","2020-04-15","0.00",,"51",,"36"
"UKM00003772","HEATHROW, UK","2020-04-16","0.00",,"54",,"40"
"UKM00003772","HEATHROW, UK","2020-04-17","0.00",,"51",,
"UKM00003772","HEATHROW, UK","2020-04-18","0.63",,"50",,"44"
"UKM00003772","HEATHROW, UK","2020-04-19","0.04",,"53",,
"UKM00003772","HEATHROW, UK","2020-04-20","0.00",,"54","65","42"
"UKM00003772","HEATHROW, UK","2020-04-21","0.00",,"56","66","47"
"UKM00003772","HEATHROW, UK","2020-04-22","0.00",,"57",,"45"
"UKM00003772","HEATHROW, UK","2020-04-23","0.00",,"59",,"44"
"UKM00003772","HEATHROW, UK","2020-04-24","0.00",,"58",,"46"
"UKM00003772","HEATHROW, UK","2020-04-25","0.00",,"52",,"44"
"UKM00003772","HEATHROW, UK","2020-04-26","0.00",,"55",,
"UKM00003772","HEATHROW, UK","2020-04-27","0.00",,"55","65","45"
"UKM00003772","HEATHROW, UK","2020-04-28","0.13",,"47",,
"UKM00003772","HEATHROW, UK","2020-04-29","0.45",,"51",,
"UKM00003772","HEATHROW, UK","2020-04-30","0.07",,"49",,
"UKM00003772","HEATHROW, UK","2020-05-01","0.17",,"51",,"45"
"UKM00003772","HEATHROW, UK","2020-05-02","0.01",,"53",,"42"
"UKM00003772","HEATHROW, UK","2020-05-03","0.00",,"53",,"47"
"UKM00003772","HEATHROW, UK","2020-05-04","0.01",,"55",,
"UKM00003772","HEATHROW, UK","2020-05-05","0.00",,"52",,
"UKM00003772","HEATHROW, UK","2020-05-06","0.00",,"53",,"41"
"UKM00003772","HEATHROW, UK","2020-05-07","0.00",,"59",,"43"
"UKM00003772","HEATHROW, UK","2020-05-08","0.00",,"64",,"50"
"UKM00003772","HEATHROW, UK","2020-05-09","0.00",,"64",,"51"
"UKM00003772","HEATHROW, UK","2020-05-10","0.00",,"54","64",
"UKM00003772","HEATHROW, UK","2020-05-11","0.00",,"47",,"40"
"UKM00003772","HEATHROW, UK","2020-05-12","0.00",,"49",,
"UKM00003772","HEATHROW, UK","2020-05-13","0.00",,"49",,
"UKM00003772","HEATHROW, UK","2020-05-14","0.00",,"48",,"37"
"UKM00003772","HEATHROW, UK","2020-05-15","0.00",,"53",,
"UKM00003772","HEATHROW, UK","2020-05-16","0.00",,"56",,"46"
"UKM00003772","HEATHROW, UK","2020-05-17","0.00",,"58",,"46"
"UKM00003772","HEATHROW, UK","2020-05-18","0.00",,"62",,"50"
"UKM00003772","HEATHROW, UK","2020-05-19","0.00",,"65",,"53"
"UKM00003772","HEATHROW, UK","2020-05-20","0.00",,"68",,
"UKM00003772","HEATHROW, UK","2020-05-21","0.00",,"68",,
"UKM00003772","HEATHROW, UK","2020-05-22","0.00",,"65","74",
"UKM00003772","HEATHROW, UK","2020-05-23","0.00",,"58","68",
"UKM00003772","HEATHROW, UK","2020-05-24","0.06",,"62",,
"UKM00003772","HEATHROW, UK","2020-05-25","0.00",,"65",,
"UKM00003772","HEATHROW, UK","2020-05-26","0.00",,"67",,
"UKM00003772","HEATHROW, UK","2020-05-27","0.00",,"68",,"57"
"UKM00003772","HEATHROW, UK","2020-05-28","0.00",,"62",,"53"
"UKM00003772","HEATHROW, UK","2020-05-29","0.00",,"63",,"52"
"UKM00003772","HEATHROW, UK","2020-05-30","0.00",,"64",,"50"
"UKM00003772","HEATHROW, UK","2020-05-31","0.00",,"65",,
"UKM00003772","HEATHROW, UK","2020-06-01","0.00",,"66",,"52"
"UKM00003772","HEATHROW, UK","2020-06-02","0.00",,"66",,
"UKM00003772","HEATHROW, UK","2020-06-03","0.00",,"60",,
"UKM00003772","HEATHROW, UK","2020-06-04","0.02",,"55",,"51"
"UKM00003772","HEATHROW, UK","2020-06-05","0.00",,"55","62",
"UKM00003772","HEATHROW, UK","2020-06-06","0.06",,"51",,
"UKM00003772","HEATHROW, UK","2020-06-07","0.39",,"55",,
"UKM00003772","HEATHROW, UK","2020-06-08","0.08",,"56",,"51"
"UKM00003772","HEATHROW, UK","2020-06-09","0.00",,"59",,"51"
"UKM00003772","HEATHROW, UK","2020-06-10","0.00",,"56",,
"UKM00003772","HEATHROW, UK","2020-06-11","0.20",,"58","71","52"
"UKM00003772","HEATHROW, UK","2020-06-12","0.03",,"62",,
"UKM00003772","HEATHROW, UK","2020-06-13","0.09",,"64",,"54"
"UKM00003772","HEATHROW, UK","2020-06-14","0.06",,"65",,"55"
"UKM00003772","HEATHROW, UK","2020-06-15","0.00",,"63",,
"UKM00003772","HEATHROW, UK","2020-06-16","0.04",,"65",,"56"
"UKM00003772","HEATHROW, UK","2020-06-17","0.01",,"64",,"55"
"UKM00003772","HEATHROW, UK","2020-06-18","0.44",,"60",,"57"
"UKM00003772","HEATHROW, UK","2020-06-19","0.39",,"60",,"56"
"UKM00003772","HEATHROW, UK","2020-06-20","0.02",,"62",,"53"
"UKM00003772","HEATHROW, UK","2020-06-21","0.02",,"63",,
"UKM00003772","HEATHROW, UK","2020-06-22","0.02",,"63",,
"UKM00003772","HEATHROW, UK","2020-06-23","0.00",,"70",,"53"
"UKM00003772","HEATHROW, UK","2020-06-24","0.00",,"76",,"62"
"UKM00003772","HEATHROW, UK","2020-06-25","0.00",,"78",,"65"
"UKM00003772","HEATHROW, UK","2020-06-26","0.00",,"74",,
"UKM00003772","HEATHROW, UK","2020-06-27","0.13",,"63","71",
"UKM00003772","HEATHROW, UK","2020-06-28","0.03",,"61","72",
"UKM00003772","HEATHROW, UK","2020-06-29","0.07",,"60","71",
"UKM00003772","HEATHROW, UK","2020-06-30","0.00",,"61",,"55"
"UKM00003772","HEATHROW, UK","2020-07-01","0.02",,"63",,
"UKM00003772","HEATHROW, UK","2020-07-02","0.08",,"61",,"53"
"UKM00003772","HEATHROW, UK","2020-07-03","0.09",,"62","72",
"UKM00003772","HEATHROW, UK","2020-07-04","0.12",,"64","71","58"
"UKM00003772","HEATHROW, UK","2020-07-05","0.00",,"64","73",
"UKM00003772","HEATHROW, UK","2020-07-06","0.00",,"60",,
"UKM00003772","HEATHROW, UK","2020-07-07","0.00",,"60",,
"UKM00003772","HEATHROW, UK","2020-07-08","0.31",,"62",,"56"
"UKM00003772","HEATHROW, UK","2020-07-09","0.10",,"63",,
"UKM00003772","HEATHROW, UK","2020-07-10","0.11",,"60",,
"UKM00003772","HEATHROW, UK","2020-07-11","0.00",,"60",,
"UKM00003772","HEATHROW, UK","2020-07-12","0.00",,"64",,
"UKM00003772","HEATHROW, UK","2020-07-13","0.00",,"66","79",
"UKM00003772","HEATHROW, UK","2020-07-14","0.05",,"64",,
"UKM00003772","HEATHROW, UK","2020-07-15","0.00",,"61",,
"UKM00003772","HEATHROW, UK","2020-07-16","0.00",,"67",,"61"
"UKM00003772","HEATHROW, UK","2020-07-17","0.00",,"71",,
"UKM00003772","HEATHROW, UK","2020-07-18","0.00",,"67",,
"UKM00003772","HEATHROW, UK","2020-07-19","0.01",,"63",,
"UKM00003772","HEATHROW, UK","2020-07-20","0.02",,"62",,"51"
"UKM00003772","HEATHROW, UK","2020-07-21","0.00",,"63",,
"UKM00003772","HEATHROW, UK","2020-07-22","0.00",,"67",,
"UKM00003772","HEATHROW, UK","2020-07-23","0.00",,"67",,"56"
"UKM00003772","HEATHROW, UK","2020-07-24","0.00",,"68",,
"UKM00003772","HEATHROW, UK","2020-07-25","0.00",,"65",,
"UKM00003772","HEATHROW, UK","2020-07-26","0.30",,"63",,"54"
"UKM00003772","HEATHROW, UK","2020-07-27","0.10",,"63",,
"UKM00003772","HEATHROW, UK","2020-07-28","0.09",,"62",,
"UKM00003772","HEATHROW, UK","2020-07-29","0.00",,"63",,
"UKM00003772","HEATHROW, UK","2020-07-30","0.00",,"71",,"55"
"UKM00003772","HEATHROW, UK","2020-07-31","0.00",,"78",,"62"
"UKM00003772","HEATHROW, UK","2020-08-01","0.00",,"69",,
"UKM00003772","HEATHROW, UK","2020-08-02","0.00",,"65",,
"UKM00003772","HEATHROW, UK","2020-08-03","0.00",,"65",,"57"
"UKM00003772","HEATHROW, UK","2020-08-04","0.00",,"64",,"52"
"UKM00003772","HEATHROW, UK","2020-08-05","0.00",,"69",,"60"
"UKM00003772","HEATHROW, UK","2020-08-06","0.00",,"74",,
"UKM00003772","HEATHROW, UK","2020-08-07","0.00",,"78",,
"UKM00003772","HEATHROW, UK","2020-08-08","0.00",,"78",,
"UKM00003772","HEATHROW, UK","2020-08-09","0.00",,"76",,
"UKM00003772","HEATHROW, UK","2020-08-10","0.00",,"80",,"66"
"UKM00003772","HEATHROW, UK","2020-08-11","0.00",,"83",,
"UKM00003772","HEATHROW, UK","2020-08-12","0.00",,"80",,"71"
"UKM00003772","HEATHROW, UK","2020-08-13","0.02",,"72",,
"UKM00003772","HEATHROW, UK","2020-08-14","0.11",,"65",,
"UKM00003772","HEATHROW, UK","2020-08-15","0.03",,"65",,"62"
"UKM00003772","HEATHROW, UK","2020-08-16","0.00",,"69",,
"UKM00003772","HEATHROW, UK","2020-08-17","0.03",,"65",,"59"
"UKM00003772","HEATHROW, UK","2020-08-18","0.13",,"67",,
"UKM00003772","HEATHROW, UK","2020-08-19","0.13",,"65",,"59"
"UKM00003772","HEATHROW, UK","2020-08-20","0.52",,"69",,"61"
"UKM00003772","HEATHROW, UK","2020-08-21","0.00",,"68","75",
"UKM00003772","HEATHROW, UK","2020-08-22","0.00",,"66","76",
"UKM00003772","HEATHROW, UK","2020-08-23","0.01",,"64","74",
"UKM00003772","HEATHROW, UK","2020-08-24","0.00",,"63",,
"UKM00003772","HEATHROW, UK","2020-08-25","0.45",,"64","72","60"
"UKM00003772","HEATHROW, UK","2020-08-26","0.12",,"64",,
"UKM00003772","HEATHROW, UK","2020-08-27","0.00",,"59",,"55"
"UKM00003772","HEATHROW, UK","2020-08-28","0.46",,"58",,
"UKM00003772","HEATHROW, UK","2020-08-29","0.27",,"56",,"52"
"UKM00003772","HEATHROW, UK","2020-08-30","0.02",,"57",,"53"
"UKM00003772","HEATHROW, UK","2020-08-31","0.00",,"56",,
"UKM00003772","HEATHROW, UK","2020-09-01","0.00",,"57",,"44"
"UKM00003772","HEATHROW, UK","2020-09-02","0.00",,"58",,
"UKM00003772","HEATHROW, UK","2020-09-03","0.04",,"65",,
"UKM00003772","HEATHROW, UK","2020-09-04","0.06",,"60",,
"UKM00003772","HEATHROW, UK","2020-09-05","0.02",,"57",,
"UKM00003772","HEATHROW, UK","2020-09-06","0.00",,"59",,
"UKM00003772","HEATHROW, UK","2020-09-07","0.00",,"60",,"50"
"UKM00003772","HEATHROW, UK","2020-09-08","0.00",,"67",,
"UKM00003772","HEATHROW, UK","2020-09-09","0.00",,"63",,
"UKM00003772","HEATHROW, UK","2020-09-10","0.00",,"59","69",
"UKM00003772","HEATHROW, UK","2020-09-11","0.00",,"58",,"48"
"UKM00003772","HEATHROW, UK","2020-09-12","0.01",,"62",,"54"
"UKM00003772","HEATHROW, UK","2020-09-13","0.00",,"65",,"55"
"UKM00003772","HEATHROW, UK","2020-09-14","0.00",,"68",,"52"
"UKM00003772","HEATHROW, UK","2020-09-15","0.00",,"71",,
"UKM00003772","HEATHROW, UK","2020-09-16","0.00",,"70",,
"UKM00003772","HEATHROW, UK","2020-09-17","0.00",,"62",,"55"
"UKM00003772","HEATHROW, UK","2020-09-18","0.00",,"61",,"49"
"UKM00003772","HEATHROW, UK","2020-09-19","0.00",,"65",,"55"
"UKM00003772","HEATHROW, UK","2020-09-20","0.00",,"65",,"57"
"UKM00003772","HEATHROW, UK","2020-09-21","0.00",,"64",,"57"
"UKM00003772","HEATHROW, UK","2020-09-22","0.00",,"64",,"54"
"UKM00003772","HEATHROW, UK","2020-09-23","0.04",,"60",,
"UKM00003772","HEATHROW, UK","2020-09-24","0.28",,"51",,
"UKM00003772","HEATHROW, UK","2020-09-25","0.13",,"51","59","44"
"UKM00003772","HEATHROW, UK","2020-09-26","0.01",,"51","56","44"
"UKM00003772","HEATHROW, UK","2020-09-27","0.00",,"54",,"51"
"UKM00003772","HEATHROW, UK","2020-09-28","0.00",,"56",,
"UKM00003772","HEATHROW, UK","2020-09-29","0.07",,"60",,
"UKM00003772","HEATHROW, UK","2020-09-30","0.01",,"57",,
"UKM00003772","HEATHROW, UK","2020-10-01","0.13",,"54",,
"UKM00003772","HEATHROW, UK","2020-10-02","0.14",,"54",,"50"
"UKM00003772","HEATHROW, UK","2020-10-03","1.18",,"56",,
"UKM00003772","HEATHROW, UK","2020-10-04","1.20",,"50",,"48"
"UKM00003772","HEATHROW, UK","2020-10-05","0.20",,"55",,
"UKM00003772","HEATHROW, UK","2020-10-06","0.13",,"56",,"51"
"UKM00003772","HEATHROW, UK","2020-10-07","0.00",,"54",,"47"
"UKM00003772","HEATHROW, UK","2020-10-08","0.14",,"58",,
"UKM00003772","HEATHROW, UK","2020-10-09","0.02",,"49",,
"UKM00003772","HEATHROW, UK","2020-10-10","0.07",,"49",,"41"
"UKM00003772","HEATHROW, UK","2020-10-11","0.00",,"51",,
"UKM00003772","HEATHROW, UK","2020-10-12","0.00",,"49",,"43"
"UKM00003772","HEATHROW, UK","2020-10-13","0.15",,"49",,
"UKM00003772","HEATHROW, UK","2020-10-14","0.09",,"51",,
"UKM00003772","HEATHROW, UK","2020-10-15","0.07",,"49",,"46"
"UKM00003772","HEATHROW, UK","2020-10-16","0.04",,"50",,
"UKM00003772","HEATHROW, UK","2020-10-17","0.00",,"51",,
"UKM00003772","HEATHROW, UK","2020-10-18","0.00",,"49",,
"UKM00003772","HEATHROW, UK","2020-10-19","0.00",,"53",,"45"
"UKM00003772","HEATHROW, UK","2020-10-20","0.06",,"59",,"54"
"UKM00003772","HEATHROW, UK","2020-10-21","0.17",,"58",,
"UKM00003772","HEATHROW, UK","2020-10-22","0.53",,"56",,
"UKM00003772","HEATHROW, UK","2020-10-23","0.00",,"54",,
"UKM00003772","HEATHROW, UK","2020-10-24","0.00",,"54","61","46"
"UKM00003772","HEATHROW, UK","2020-10-25","0.82",,"49",,"45"
"UKM00003772","HEATHROW, UK","2020-10-26","0.03",,"49",,"44"
"UKM00003772","HEATHROW, UK","2020-10-27","0.02",,"49",,"41"
"UKM00003772","HEATHROW, UK","2020-10-28","0.05",,"50",,"46"
"UKM00003772","HEATHROW, UK","2020-10-29","0.07",,"53",,"45"
"UKM00003772","HEATHROW, UK","2020-10-30","0.13",,"59",,
"UKM00003772","HEATHROW, UK","2020-10-31","0.01",,"56",,
"UKM00003772","HEATHROW, UK","2020-11-01","0.28",,"58","63","50"
"UKM00003772","HEATHROW, UK","2020-11-02","0.02",,"57","63",
"UKM00003772","HEATHROW, UK","2020-11-03","0.13",,"46",,
"UKM00003772","HEATHROW, UK","2020-11-04","0.09",,"43",,"34"
"UKM00003772","HEATHROW, UK","2020-11-05","0.00",,"41",,
"UKM00003772","HEATHROW, UK","2020-11-06","0.01",,"43",,
"UKM00003772","HEATHROW, UK","2020-11-07","0.01",,"49",,
"UKM00003772","HEATHROW, UK","2020-11-08","0.01",,"53",,"47"
"UKM00003772","HEATHROW, UK","2020-11-09","0.08",,"55",,"50"
"UKM00003772","HEATHROW, UK","2020-11-10","0.27",,"54",,
"UKM00003772","HEATHROW, UK","2020-11-11","0.00",,"52",,"43"
"UKM00003772","HEATHROW, UK","2020-11-12","0.26",,"51",,
"UKM00003772","HEATHROW, UK","2020-11-13","0.00",,"51",,
"UKM00003772","HEATHROW, UK","2020-11-14","0.06",,"54",,"47"
"UKM00003772","HEATHROW, UK","2020-11-15","0.67",,"51",,
"UKM00003772","HEATHROW, UK","2020-11-16","0.25",,"51",,"45"
"UKM00003772","HEATHROW, UK","2020-11-17","0.03",,"55",,"51"
"UKM00003772","HEATHROW, UK","2020-11-18","0.00",,"53","61",
"UKM00003772","HEATHROW, UK","2020-11-19","0.02",,"46",,
"UKM00003772","HEATHROW, UK","2020-11-20","0.01",,"43",,"33"
"UKM00003772","HEATHROW, UK","2020-11-21","0.04",,"52",,"49"
"UKM00003772","HEATHROW, UK","2020-11-22","0.01",,"49",,
"UKM00003772","HEATHROW, UK","2020-11-23","0.01",,"43",,"36"
"UKM00003772","HEATHROW, UK","2020-11-24","0.00",,"51",,"46"
"UKM00003772","HEATHROW, UK","2020-11-25",,,"50",,
"UKM00003772","HEATHROW, UK","2020-11-26","0.00",,"43",,
"UKM00003772","HEATHROW, UK","2020-11-27","0.00",,"37",,
"UKM00003772","HEATHROW, UK","2020-11-28","0.01",,"48",,"41"
"UKM00003772","HEATHROW, UK","2020-11-29","0.00",,"46",,
"UKM00003772","HEATHROW, UK","2020-11-30","0.00",,"45",,
"UKM00003772","HEATHROW, UK","2020-12-01","0.00",,"41",,
"UKM00003772","HEATHROW, UK","2020-12-02","0.00",,"41",,"36"
"UKM00003772","HEATHROW, UK","2020-12-03","0.02",,"41",,"37"
"UKM00003772","HEATHROW, UK","2020-12-04","0.59",,"39",,
"UKM00003772","HEATHROW, UK","2020-12-05","0.00",,"41",,
"UKM00003772","HEATHROW, UK","2020-12-06","0.00",,"37",,
"UKM00003772","HEATHROW, UK","2020-12-07","0.01",,"34",,"31"
"UKM00003772","HEATHROW, UK","2020-12-08","0.13",,"35",,
"UKM00003772","HEATHROW, UK","2020-12-09","0.07",,"42",,"36"
"UKM00003772","HEATHROW, UK","2020-12-10","0.00",,"44",,"40"
"UKM00003772","HEATHROW, UK","2020-12-11","0.34",,"48",,"44"
"UKM00003772","HEATHROW, UK","2020-12-12","0.00",,"45",,
"UKM00003772","HEATHROW, UK","2020-12-13","0.00",,"44",,"33"
"UKM00003772","HEATHROW, UK","2020-12-14","0.23",,"51",,
"UKM00003772","HEATHROW, UK","2020-12-15","0.07",,"47",,"42"
"UKM00003772","HEATHROW, UK","2020-12-16","0.04",,"48",,"44"
"UKM00003772","HEATHROW, UK","2020-12-17","0.13",,"48",,
"UKM00003772","HEATHROW, UK","2020-12-18","0.00",,"52",,"48"
"UKM00003772","HEATHROW, UK","2020-12-19","0.08",,"50",,
"UKM00003772","HEATHROW, UK","2020-12-20","0.35",,"46",,
"UKM00003772","HEATHROW, UK","2020-12-21","0.02",,"52",,"41"
"UKM00003772","HEATHROW, UK","2020-12-22","0.12",,"53",,
"UKM00003772","HEATHROW, UK","2020-12-23","0.02",,"51",,
"UKM00003772","HEATHROW, UK","2020-12-24","0.09",,"41",,
"UKM00003772","HEATHROW, UK","2020-12-25","0.00",,"35",,
"UKM00003772","HEATHROW, UK","2020-12-26","0.00",,"44",,"32"
"UKM00003772","HEATHROW, UK","2020-12-27","0.46",,"43",,
"UKM00003772","HEATHROW, UK","2020-12-28","0.09",,"35",,"30"
"UKM00003772","HEATHROW, UK","2020-12-29","0.01",,"36",,"34"
"UKM00003772","HEATHROW, UK","2020-12-30","0.00",,"35",,
"UKM00003772","HEATHROW, UK","2020-12-31","0.00",,"32",,"26"
"UKM00003772","HEATHROW, UK","2021-01-01","0.00",,"34",,"30"
"UKM00003772","HEATHROW, UK","2021-01-02","0.02",,"38",,
"UKM00003772","HEATHROW, UK","2021-01-03","0.00",,"38",,"33"
"UKM00003772","HEATHROW, UK","2021-01-04","0.01",,"39",,
"UKM00003772","HEATHROW, UK","2021-01-05","0.00",,"38",,"35"
"UKM00003772","HEATHROW, UK","2021-01-06","0.02",,"38",,
"UKM00003772","HEATHROW, UK","2021-01-07","0.00",,"32",,
"UKM00003772","HEATHROW, UK","2021-01-08","0.00",,"33",,"29"
"UKM00003772","HEATHROW, UK","2021-01-09","0.00",,"32",,
"UKM00003772","HEATHROW, UK","2021-01-10","0.00",,"33",,"28"
"UKM00003772","HEATHROW, UK","2021-01-11","0.00",,"44",,"37"
"UKM00003772","HEATHROW, UK","2021-01-12","0.20",,"44",,
"UKM00003772","HEATHROW, UK","2021-01-13","0.04",,"43",,"33"
"UKM00003772","HEATHROW, UK","2021-01-14","0.28",,"43",,
"UKM00003772","HEATHROW, UK","2021-01-15","0.36",,"34",,
